image_name,age,filepath,gender_0,gender_1,race_0,race_1,race_2,race_3,race_4,eye_distance,mouth_width,face_width,face_height
21_0_2_20170116170741864.jpg.chip.jpg,21,/Users/cipherxishant/Downloads/archive/UTKFace/21_0_2_20170116170741864.jpg.chip.jpg,1,0,0,0,1,0,0,77.40894317626953,66.86251068115234,160.5243682861328,193.1954345703125
39_0_4_20170104205430619.jpg.chip.jpg,39,/Users/cipherxishant/Downloads/archive/UTKFace/39_0_4_20170104205430619.jpg.chip.jpg,1,0,0,0,0,0,1,81.0732421875,68.35238647460938,176.1894073486328,195.52633666992188
36_0_4_20170104000906228.jpg.chip.jpg,36,/Users/cipherxishant/Downloads/archive/UTKFace/36_0_4_20170104000906228.jpg.chip.jpg,1,0,0,0,0,0,1,73.98152923583984,64.83088684082031,160.9552459716797,191.28407287597656
26_0_3_20170119150512262.jpg.chip.jpg,26,/Users/cipherxishant/Downloads/archive/UTKFace/26_0_3_20170119150512262.jpg.chip.jpg,1,0,0,0,0,1,0,79.21012878417969,64.32743835449219,176.2900848388672,198.3532257080078
21_1_1_20170112192949478.jpg.chip.jpg,21,/Users/cipherxishant/Downloads/archive/UTKFace/21_1_1_20170112192949478.jpg.chip.jpg,0,1,0,1,0,0,0,79.20275115966797,66.95966339111328,155.65098571777344,182.07052612304688
61_1_3_20170109131931185.jpg.chip.jpg,61,/Users/cipherxishant/Downloads/archive/UTKFace/61_1_3_20170109131931185.jpg.chip.jpg,0,1,0,0,0,1,0,83.24432373046875,71.0831298828125,188.1509552001953,195.95521545410156
54_0_1_20170117170901716.jpg.chip.jpg,54,/Users/cipherxishant/Downloads/archive/UTKFace/54_0_1_20170117170901716.jpg.chip.jpg,1,0,0,1,0,0,0,78.92668151855469,64.60877227783203,176.10585021972656,195.6754913330078
25_0_3_20170117140649662.jpg.chip.jpg,25,/Users/cipherxishant/Downloads/archive/UTKFace/25_0_3_20170117140649662.jpg.chip.jpg,1,0,0,0,0,1,0,79.19496154785156,66.9553451538086,162.8437042236328,196.1143341064453
35_0_3_20170119150724127.jpg.chip.jpg,35,/Users/cipherxishant/Downloads/archive/UTKFace/35_0_3_20170119150724127.jpg.chip.jpg,1,0,0,0,0,1,0,81.35004425048828,61.956016540527344,183.04832458496094,187.4342041015625
39_1_0_20170104205026100.jpg.chip.jpg,39,/Users/cipherxishant/Downloads/archive/UTKFace/39_1_0_20170104205026100.jpg.chip.jpg,0,1,1,0,0,0,0,86.97773742675781,74.80374908447266,164.200439453125,200.2888946533203
37_0_0_20170104172740418.jpg.chip.jpg,37,/Users/cipherxishant/Downloads/archive/UTKFace/37_0_0_20170104172740418.jpg.chip.jpg,1,0,1,0,0,0,0,77.10514068603516,71.76888275146484,167.00588989257812,199.04666137695312
56_0_0_20170109012151633.jpg.chip.jpg,56,/Users/cipherxishant/Downloads/archive/UTKFace/56_0_0_20170109012151633.jpg.chip.jpg,1,0,1,0,0,0,0,83.77412414550781,75.87660217285156,170.1132049560547,195.1249237060547
49_1_0_20170103180443960.jpg.chip.jpg,49,/Users/cipherxishant/Downloads/archive/UTKFace/49_1_0_20170103180443960.jpg.chip.jpg,0,1,1,0,0,0,0,82.10018920898438,73.45996856689453,171.12644958496094,200.5631866455078
35_1_2_20170116191708474.jpg.chip.jpg,35,/Users/cipherxishant/Downloads/archive/UTKFace/35_1_2_20170116191708474.jpg.chip.jpg,0,1,0,0,1,0,0,79.88102722167969,67.439697265625,168.39076232910156,198.97390747070312
